TechCode,CropCode,Variable,Filename,Crop,Tech,Archive
H,OOIL,VOP,spam2017V2r1_SSA_V_OOIL_H.tif,other oil crops,rainfed high inputs,spam2017v2r1_ssa_val_prod.geotiff
H,OPUL,VOP,spam2017V2r1_SSA_V_OPUL_H.tif,other pulses,rainfed high inputs,spam2017v2r1_ssa_val_prod.geotiff
H,ORTS,VOP,spam2017V2r1_SSA_V_ORTS_H.tif,other roots,rainfed high inputs,spam2017v2r1_ssa_val_prod.geotiff
H,PIGE,VOP,spam2017V2r1_SSA_V_PIGE_H.tif,pigeonpea,rainfed high inputs,spam2017v2r1_ssa_val_prod.geotiff
H,PLNT,VOP,spam2017V2r1_SSA_V_PLNT_H.tif,plantain,rainfed high inputs,spam2017v2r1_ssa_val_prod.geotiff
H,PMIL,VOP,spam2017V2r1_SSA_V_PMIL_H.tif,pearl millet,rainfed high inputs,spam2017v2r1_ssa_val_prod.geotiff
H,POTA,VOP,spam2017V2r1_SSA_V_POTA_H.tif,potato,rainfed high inputs,spam2017v2r1_ssa_val_prod.geotiff
H,RAPE,VOP,spam2017V2r1_SSA_V_RAPE_H.tif,rapeseed,rainfed high inputs,spam2017v2r1_ssa_val_prod.geotiff
H,RCOF,VOP,spam2017V2r1_SSA_V_RCOF_H.tif,robusta coffee,rainfed high inputs,spam2017v2r1_ssa_val_prod.geotiff
H,REST,VOP,spam2017V2r1_SSA_V_REST_H.tif,rest of crops,rainfed high inputs,spam2017v2r1_ssa_val_prod.geotiff
H,RICE,VOP,spam2017V2r1_SSA_V_RICE_H.tif,rice,rainfed high inputs,spam2017v2r1_ssa_val_prod.geotiff
H,SESA,VOP,spam2017V2r1_SSA_V_SESA_H.tif,sesameseed,rainfed high inputs,spam2017v2r1_ssa_val_prod.geotiff
H,SMIL,VOP,spam2017V2r1_SSA_V_SMIL_H.tif,small millet,rainfed high inputs,spam2017v2r1_ssa_val_prod.geotiff
